,Vm (p.u.),Va (deg),Vre,Vim
0,1.0299999999999998,27.070862645058643,0.9171576841696016,0.4687449011654986
1,1.01,17.306472518036607,0.9642744719369162,0.3004575556892883
2,1.03,0.0,1.03,0.0
3,1.01,-10.19214888792227,0.9940620628963119,-0.17871937530757234
4,1.0064497674182895,20.607650852472638,0.9420496082918187,0.35423674266450705
5,0.978122852399292,10.522929537522947,0.9616726833927294,0.17863360378706575
6,0.9610070199197785,2.1136356967573318,0.9603531937224334,0.035443414652312794
7,0.9485994918806142,-11.756578014703159,0.9286998536297981,-0.193281085117378
8,0.971353502297021,-25.354215005912245,0.8777905629534429,-0.41594633549842286
9,0.9834511600780845,-16.938767556556048,0.9407857735609193,-0.28652803095737905
10,1.008248395467392,-6.628401805978492,1.0015089290906762,-0.11638166485412266
